sujeto,grupo,canal,condicion,var_baseline,var_senal,snr,metodo
co2c0000337,control,TP8,S2 nomatch,14.909915513586379,26.023842023397222,1.7454050628042452,ponderado
co2c0000338,control,P8,S1 obj,6.2202173170068376,63.510753954195806,10.210375412535766,ponderado
co2c0000338,control,P8,S2 match,1.216720347159794,18.36443392747318,15.093389348128774,ponderado
co2c0000338,control,P8,S2 nomatch,1.0812845358278633,33.44158926249434,30.927649618969603,ponderado
co2c0000338,control,PO8,S1 obj,3.8879419649056435,98.09138265332399,25.229641681573963,ponderado
co2c0000338,control,PO8,S2 match,0.432702448390989,14.92464052029662,34.49169417874601,ponderado
co2c0000338,control,PO8,S2 nomatch,4.403428462370993,49.32962554141774,11.202549550414764,ponderado
co2c0000338,control,T8,S1 obj,1.0530899821099682,10.480699850131879,9.95233078671281,ponderado
co2c0000338,control,T8,S2 match,1.134590821731782,16.081137300076445,14.173512593316252,ponderado
co2c0000338,control,T8,S2 nomatch,1.4372576165562196,15.944821521792132,11.09392035089517,ponderado
co2c0000338,control,TP8,S1 obj,3.933533261914172,35.86210396201172,9.11702064635909,ponderado
co2c0000338,control,TP8,S2 match,0.2620026642496994,11.918055460508928,45.4882987340561,ponderado
co2c0000338,control,TP8,S2 nomatch,0.11537541032135737,21.844134133972304,189.33093345565933,ponderado
co2c0000339,control,P8,S1 obj,0.01645913275621631,2.637778851111413,160.26232306287054,ponderado
co2c0000339,control,P8,S2 match,0.0655053060230212,53.10694737943331,810.7274143680726,ponderado
co2c0000339,control,P8,S2 nomatch,0.5092093891527346,37.96358671038866,74.55398018790594,ponderado
co2c0000339,control,PO8,S1 obj,0.11036895786122615,5.933219384977444,53.75804483392563,ponderado
co2c0000339,control,PO8,S2 match,0.35835349057259036,62.511355455418915,174.4404815355251,ponderado
co2c0000339,control,PO8,S2 nomatch,0.08240009108670322,54.45723763478125,660.8880756876849,ponderado
co2c0000339,control,T8,S1 obj,0.04294649794994603,2.373626115583563,55.26937535977938,ponderado
co2c0000339,control,T8,S2 match,0.0077750850823017,30.543992675182984,3928.4448146695886,ponderado
co2c0000339,control,T8,S2 nomatch,0.40118347093026424,30.835325522802954,76.86090718369329,ponderado
co2c0000339,control,TP8,S1 obj,0.03720215941726266,2.96298789602026,79.6455889236732,ponderado
co2c0000339,control,TP8,S2 match,0.060121615599988514,40.79966576307385,678.618918602075,ponderado
co2c0000339,control,TP8,S2 nomatch,0.4946170011600505,37.731796146736755,76.28487508161355,ponderado
